"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1954.33	5	47	-2.6	14.1
	1954.42	6	24	0.6	19.5
	1954.5	7	64	5.2	22.2
	1954.58	8	45	3.4	21.1
	1954.67	9	65	1.5	17.8
	1954.75	10	40	-3.5	11
	1954.83	11	62	-8.8	5.4
	1954.92	12	49	-16.4	-1.1
	1955	1	44	-16.1	-3.5
	1955.08	2	60	-17.3	-2.8
	1955.17	3	91	-12.9	2.8
	1955.25	4	28	-8.6	8.3
	1955.33	5	73	-3.2	13
	1955.42	6	45	0	16.2
	1955.5	7	54	2.3	21.8
	1955.58	8	73	5.1	21.2
	1955.67	9	25	-0.5	19.1
	1955.75	10	39	-5.3	11.9
	1955.83	11	103	-11.9	0.1
	1955.92	12	60	-11.3	-0.2
	1956	1	70	-12	0.4
	1956.08	2	86	-17.8	-3.3
	1956.17	3	58	-12.9	3.2
	1956.25	4	86	-7	6.9
	1956.33	5	62	-1.4	14.9
